Word;Category
chlorinate;V
tingle;V
uncurl;V
magnetize;V
condense;V
frenchify;V
dominate;V
transform;V
tend;V
ossify;V
collectivize;V
predetermine;V
trumpet;V
mastermind;V
recurve;V
perennate;V
contemn;V
overdose;V
prologize;V
misconstrue;V
abound;V
inweave;V
accrue;V
trifurcate;V
shun;V
decrepitate;V
hibernate;V
straighten;V
announce;V
masturbate;V
install;V
predispose;V
chronologize;V
deem;V
coact;V
breathe;V
dandle;V
dehydrate;V
archaize;V
habilitate;V
shirk;V
humify;V
verify;V
victimize;V
cohere;V
nestle;V
remind;V
itinerate;V
wigwag;V
satisfy;V
unloose;V
cox;V
behold;V
endanger;V
gibbet;V
stridulate;V
denaturalize;V
withhold;V
toddle;V
abolish;V
filiate;V
cloy;V
sidle;V
cavil;V
sculpt;V
despond;V
broach;V
tyrannize;V
befuddle;V
revet;V
transpire;V
feudalize;V
speechify;V
retool;V
queer;V
inscribe;V
unmake;V
recast;V
rewire;V
educate;V
emasculate;V
widen;V
circumambulate;V
potentiate;V
drown;V
finalize;V
clobber;V
hear;V
reconvert;V
embroil;V
smite;V
disunify;V
fasten;V
justify;V
undersign;V
predigest;V
sliver;V
sexualize;V
reprint;V
miscalculate;V
constellate;V
tether;V
jellify;V
sadden;V
reminisce;V
sympathize;V
nutate;V
recondition;V
ovulate;V
intonate;V
exploit;V
compose;V
pressurize;V
presuppose;V
tinkle;V
aggrade;V
holler;V
inspire;V
recopy;V
remodel;V
compare;V
consolidate;V
maraud;V
indispose;V
revolve;V
rosin;V
decerebrate;V
correspond;V
precook;V
gnaw;V
align;V
flocculate;V
backcross;V
dishearten;V
mythologize;V
denature;V
catholicize;V
oscillate;V
embattle;V
dispossess;V
gyrate;V
disapprove;V
vocalize;V
discover;V
enjoy;V
rebuild;V
complexify;V
continue;V
differentiate;V
pluralize;V
bethink;V
sheathe;V
supple;V
ramify;V
sup;V
entrust;V
putrefy;V
sustain;V
skive;V
inoculate;V
quieten;V
predecease;V
elocute;V
consume;V
winkle;V
illustrate;V
boggle;V
partake;V
cutinize;V
happen;V
wean;V
embalm;V
fabricate;V
acerbate;V
reseed;V
outrange;V
cosh;V
literalize;V
placard;V
divert;V
resonate;V
descry;V
detrain;V
alphabetize;V
afforest;V
wharf;V
sibilate;V
abbreviate;V
fledge;V
disestablish;V
argue;V
overpay;V
disavow;V
collocate;V
flame;V
resile;V
analyze;V
rehouse;V
obliterate;V
tipple;V
unclutter;V
bamboozle;V
criticize;V
concoct;V
misbelieve;V
platitudinize;V
enchain;V
overcook;V
terrify;V
resinate;V
disperse;V
unbrace;V
appreciate;V
adopt;V
enjoin;V
prove;V
commit;V
prevent;V
adsorb;V
devolve;V
circumstantiate;V
lapidify;V
angulate;V
attach;V
schematize;V
spiritize;V
rekindle;V
aggrieve;V
impinge;V
divaricate;V
contort;V
macadamize;V
shatter;V
conquer;V
predestine;V
pummel;V
vet;V
overleap;V
sanitize;V
exclaim;V
reproduce;V
defat;V
vivisect;V
subside;V
generate;V
adhere;V
brighten;V
rehearse;V
interstratify;V
swelter;V
explore;V
inhale;V
requite;V
busk;V
compartmentalize;V
tweak;V
catechize;V
demise;V
territorialize;V
discolor;V
ghettoize;V
prickle;V
include;V
hollo;V
plead;V
submerge;V
gladden;V
channelize;V
abscise;V
interlope;V
fatten;V
stonewall;V
diminish;V
intercalate;V
intensify;V
petition;V
applaud;V
overrefine;V
ripen;V
reposition;V
route;V
readmit;V
chuckle;V
dismay;V
enter;V
liberalize;V
preheat;V
bury;V
celebrate;V
antisepticize;V
desecrate;V
attemper;V
conduct;V
flump;V
enrobe;V
violate;V
belabor;V
accurse;V
unclip;V
regulate;V
factorize;V
mongrelize;V
spew;V
denude;V
rehear;V
debar;V
write;V
admit;V
portray;V
misplay;V
consign;V
revalue;V
falter;V
lave;V
conclude;V
utter;V
amortize;V
integrate;V
aluminize;V
delouse;V
untune;V
pursue;V
cogitate;V
skirmish;V
reconvene;V
outdistance;V
commercialize;V
annoy;V
resplend;V
outfight;V
imply;V
forecast;V
thicken;V
animalize;V
undersell;V
heal;V
transubstantiate;V
detach;V
pander;V
make;V
peptize;V
evaporate;V
estivate;V
scrounge;V
disqualify;V
remilitarize;V
tittup;V
featherbed;V
daunt;V
blaspheme;V
yearn;V
cannibalize;V
restock;V
unlearn;V
prepose;V
wend;V
overcrowd;V
unfasten;V
resift;V
reintroduce;V
frivol;V
launder;V
poach;V
peddle;V
crave;V
reciprocate;V
subrogate;V
refuse;V
demilitarize;V
cohabit;V
affranchise;V
bequeath;V
hobble;V
urticate;V
reject;V
metastasize;V
infest;V
belong;V
jive;V
revenge;V
symbolize;V
decontrol;V
stipple;V
ammonify;V
relax;V
reunify;V
appose;V
estrange;V
remonstrate;V
tabulate;V
twirl;V
connive;V
disbelieve;V
safeguard;V
abrade;V
send;V
palpitate;V
admix;V
solicit;V
circumnavigate;V
retract;V
refer;V
saccharify;V
infuscate;V
satisfice;V
saponify;V
masculinize;V
overstock;V
fluoresce;V
unbolt;V
transgress;V
discourage;V
vitaminize;V
garner;V
vary;V
arrange;V
culminate;V
undertake;V
outlaw;V
roughhouse;V
assemble;V
defuse;V
preform;V
equalize;V
auspicate;V
vacate;V
diphthongize;V
reorganize;V
immerse;V
usurp;V
superpose;V
churr;V
excrete;V
cozen;V
muddy;V
utilize;V
operate;V
remarry;V
anastomose;V
collogue;V
corral;V
collaborate;V
succumb;V
exhale;V
seem;V
receive;V
depreciate;V
speckle;V
scamp;V
wrangle;V
prejudice;V
revamp;V
hyperextend;V
threaten;V
plasticize;V
spondaize;V
befriend;V
caponize;V
apprehend;V
overemphasize;V
barbarize;V
thud;V
modulate;V
negotiate;V
neutralize;V
reconstruct;V
birdnest;V
impede;V
heed;V
encase;V
catabolize;V
thoriate;V
malinger;V
schuss;V
batfowl;V
weaken;V
froth;V
expedite;V
opine;V
consult;V
babbitt;V
situate;V
inspan;V
dine;V
deodorize;V
foredoom;V
come;V
repel;V
buy;V
apologize;V
bilk;V
seclude;V
preside;V
outflank;V
catalyze;V
humidify;V
dethrone;V
rearrange;V
send;V
trickle;V
signify;V
bedew;V
surround;V
reconsider;V
cinematize;V
insist;V
overcome;V
rehabilitate;V
recommence;V
seize;V
reclassify;V
maintain;V
lustrate;V
acidify;V
chasten;V
deduce;V
pulsate;V
rick;V
insulate;V
infiltrate;V
intuit;V
exult;V
douse;V
medicate;V
beneficiate;V
extravasate;V
inhere;V
pelt;V
snooze;V
deform;V
unearth;V
obsolesce;V
apostatize;V
recur;V
enrich;V
decalcify;V
metal;V
succeed;V
shine;V
prefigure;V
overdress;V
syllogize;V
fend;V
speculate;V
solarize;V
spang;V
recapitulate;V
entertain;V
gallivant;V
reckon;V
supplant;V
unstrap;V
recreate;V
muss;V
burgeon;V
deoxygenate;V
recuse;V
recharge;V
investigate;V
commemorate;V
underproduce;V
devilize;V
dice;V
negate;V
interconnect;V
demonetize;V
wield;V
eroticize;V
interfere;V
revive;V
faze;V
kindle;V
hurtle;V
intercommunicate;V
embed;V
relive;V
scry;V
regurgitate;V
betray;V
reimpose;V
persist;V
decommission;V
singularize;V
iodinate;V
guzzle;V
summarize;V
shirr;V
disincarnate;V
misjudge;V
understock;V
succor;V
bode;V
dinge;V
cocainize;V
disembark;V
formalize;V
outshout;V
devoice;V
smoothen;V
overcrop;V
wench;V
ennoble;V
traverse;V
nobble;V
inherit;V
idolize;V
metricize;V
amend;V
emote;V
intervene;V
uproot;V
saltate;V
maim;V
impersonate;V
besot;V
fornicate;V
procure;V
crystallize;V
manumit;V
unhorse;V
peep;V
explain;V
dissociate;V
unsex;V
swage;V
evolve;V
scintillate;V
quicken;V
unwire;V
detoxify;V
execute;V
authorize;V
retouch;V
amplify;V
bejewel;V
undeceive;V
unseat;V
signalize;V
platinize;V
vouchsafe;V
verbify;V
calligraph;V
crepitate;V
ostracize;V
uncoil;V
bulldoze;V
stumble;V
slake;V
resize;V
endeavor;V
clump;V
disenfranchise;V
bide;V
flinch;V
patronize;V
fort;V
truckle;V
exacerbate;V
misname;V
reprehend;V
uncouple;V
enlist;V
ligate;V
tighten;V
agitate;V
predate;V
penetrate;V
coarsen;V
capsize;V
dabble;V
syllabify;V
admire;V
overpower;V
escalate;V
unburden;V
optimize;V
postpone;V
disgruntle;V
mismate;V
smolder;V
internalize;V
lump;V
remain;V
derive;V
perorate;V
plagiarize;V
assure;V
stipulate;V
oxidize;V
bungle;V
endear;V
accept;V
plummet;V
socialize;V
intermarry;V
speak;V
isolate;V
vouch;V
variegate;V
sporulate;V
protuberate;V
vaticinate;V
authenticate;V
misremember;V
carbonize;V
frizzle;V
whipsaw;V
chaperone;V
oust;V
decode;V
formicate;V
invert;V
postdate;V
rarefy;V
reheat;V
quench;V
erupt;V
refracture;V
complain;V
gravitate;V
ritualize;V
transect;V
stimulate;V
ruffle;V
administer;V
supplicate;V
borrow;V
intertwine;V
prank;V
exterminate;V
resew;V
sift;V
jubilate;V
demagnetize;V
lignify;V
baptize;V
twine;V
suppose;V
uglify;V
wrest;V
confront;V
pamper;V
inspect;V
rob;V
decimalize;V
put;V
yelp;V
sear;V
maunder;V
reforest;V
forgive;V
superscribe;V
marginalize;V
enmesh;V
exert;V
replenish;V
macerate;V
pertain;V
sinter;V
wipe;V
resettle;V
yawp;V
wander;V
outgrow;V
distill;V
scoff;V
stigmatize;V
decide;V
disconnect;V
unify;V
porcelainize;V
immobilize;V
subsidize;V
untwist;V
avow;V
calcine;V
extrude;V
revolt;V
confabulate;V
dwindle;V
accrete;V
identify;V
harm;V
reseal;V
bless;V
recoup;V
accelerate;V
overrule;V
outrun;V
defend;V
shiver;V
satirize;V
lurk;V
excite;V
fowl;V
undergo;V
prorate;V
achromatize;V
dilapidate;V
reside;V
bedraggle;V
inactivate;V
imbibe;V
discredit;V
harass;V
oppose;V
delocalize;V
relocate;V
conspire;V
hallucinate;V
welter;V
repine;V
endow;V
subscribe;V
ret;V
animize;V
rebind;V
unionize;V
quantize;V
hustle;V
redirect;V
emigrate;V
gelatinize;V
skulk;V
randomize;V
ignite;V
avert;V
eat;V
imitate;V
monetize;V
canonize;V
smuggle;V
enclose;V
uncover;V
congratulate;V
decontaminate;V
disinfect;V
gestate;V
fag;V
dissimulate;V
guggle;V
monumentalize;V
prepay;V
vilify;V
wamble;V
acculturate;V
rant;V
emancipate;V
elope;V
blanch;V
misgauge;V
formularize;V
enucleate;V
confide;V
severalize;V
thank;V
enfranchise;V
subtract;V
allege;V
dedifferentiate;V
expand;V
fume;V
disengage;V
enliven;V
manacle;V
restrain;V
outbid;V
pollute;V
shamanize;V
embarrass;V
categorize;V
circumscribe;V
enrage;V
overtire;V
publicize;V
cancel;V
scrimshank;V
upheave;V
emit;V
vulcanize;V
convulse;V
pilfer;V
defervesce;V
dote;V
ornament;V
typify;V
unbutton;V
oversimplify;V
amaze;V
deliver;V
sentimentalize;V
harden;V
streamline;V
ensky;V
construct;V
mutate;V
withdraw;V
rotate;V
dissemble;V
tinge;V
author;V
unsanctify;V
misrepresent;V
electrify;V
stagger;V
resist;V
dissipate;V
splotch;V
lend;V
horripilate;V
unclog;V
adore;V
whore;V
destroy;V
refine;V
abacinate;V
disembody;V
combust;V
afford;V
exceed;V
writhe;V
shorten;V
lance;V
alter;V
patinate;V
impoverish;V
grin;V
derate;V
glorify;V
soot;V
delete;V
underbid;V
steer;V
reassess;V
realize;V
homologize;V
arouse;V
adjoin;V
interpenetrate;V
decompress;V
reveal;V
govern;V
sunder;V
teeter;V
shudder;V
depress;V
flatten;V
volatilize;V
seel;V
inject;V
redecorate;V
acetylate;V
murk;V
precede;V
readjust;V
overbear;V
treadle;V
propose;V
irrigate;V
imbrue;V
legalize;V
sensitize;V
ammoniate;V
consternate;V
deglaze;V
outride;V
manipulate;V
broker;V
crucify;V
amuse;V
besiege;V
incubate;V
impel;V
spook;V
interact;V
outwit;V
mow;V
redetermine;V
imagine;V
interpret;V
necrose;V
redeposit;V
traumatize;V
commentate;V
shake;V
denote;V
reshape;V
make;V
overwhelm;V
clap;V
reposit;V
quell;V
dedicate;V
retrench;V
sit;V
redefine;V
familiarize;V
allegorize;V
flatter;V
edit;V
unstuff;V
assonate;V
destain;V
diss;V
popularize;V
diagnose;V
entitle;V
mollify;V
deplane;V
ensconce;V
wheedle;V
regret;V
grapple;V
emplace;V
anthropomorphize;V
squirt;V
rediscover;V
supercharge;V
rusticate;V
publish;V
inculcate;V
fortify;V
reinstall;V
task;V
devitalize;V
reinforce;V
pour;V
stow;V
relearn;V
housebreak;V
propagandize;V
convoke;V
underexpose;V
moil;V
subtend;V
suppress;V
infect;V
punish;V
reconvict;V
enfeeble;V
listen;V
overstate;V
sublet;V
prepare;V
fancify;V
vivify;V
reawaken;V
persevere;V
spiritualize;V
depolarize;V
intussuscept;V
destine;V
muck;V
scend;V
stiffen;V
rid;V
harmonize;V
efface;V
unteach;V
communicate;V
decorticate;V
hydrolize;V
citify;V
misplace;V
fray;V
alcoholize;V
disassemble;V
represent;V
overgeneralize;V
dehydrogenate;V
coapt;V
bespangle;V
allude;V
straiten;V
frolic;V
tram;V
unlock;V
resign;V
unbuckle;V
ozonize;V
dislocate;V
contradict;V
classicize;V
choose;V
underlie;V
clink;V
recede;V
destabilize;V
haul;V
concenter;V
misspend;V
motivate;V
massacre;V
feminize;V
rigidify;V
axe;V
alkalinize;V
suppurate;V
gnarl;V
sandpaper;V
dehorn;V
entrench;V
awaken;V
senesce;V
hospitalize;V
simplify;V
ensile;V
skittle;V
add;V
cachinnate;V
catenate;V
reignite;V
handwrite;V
reaffirm;V
follow;V
drowse;V
nasalize;V
concertize;V
demarcate;V
reorient;V
granulate;V
telepathize;V
succuss;V
liberate;V
anneal;V
unlive;V
introduce;V
sweeten;V
condescend;V
cram;V
deviate;V
indulge;V
peruse;V
countersign;V
photosensitize;V
darken;V
suggest;V
civilize;V
backslap;V
codify;V
qualify;V
stooge;V
redound;V
congregate;V
lighten;V
etch;V
swaddle;V
orate;V
navigate;V
dismember;V
grieve;V
unbelt;V
retire;V
contraindicate;V
antiquate;V
menstruate;V
synchronize;V
adolesce;V
prance;V
incinerate;V
greet;V
perfuse;V
decarbonate;V
condole;V
sever;V
rend;V
clangor;V
capacitate;V
burp;V
dehisce;V
promulgate;V
intersect;V
emanate;V
regularize;V
clothe;V
bewilder;V
jettison;V
plait;V
opsonize;V
irradiate;V
forbid;V
etherize;V
impale;V
exteriorize;V
differ;V
machicolate;V
canvass;V
spool;V
desacralize;V
incarnadine;V
overfill;V
nationalize;V
vandalize;V
overlie;V
digitize;V
believe;V
marvel;V
emulate;V
provide;V
undershoot;V
extend;V
strengthen;V
deceive;V
improvise;V
constrict;V
retranslate;V
manufacture;V
transship;V
camphorate;V
stylize;V
fluoridate;V
misally;V
squelch;V
crump;V
warn;V
blitzkrieg;V
bake;V
microcopy;V
discountenance;V
sanitate;V
induct;V
debunk;V
mutilate;V
solemnize;V
liquefy;V
carboxylate;V
subsume;V
unclothe;V
overarch;V
weigh;V
shriek;V
renovate;V
industrialize;V
proclaim;V
want;V
gee;V
advise;V
insinuate;V
come;V
encapsulate;V
bedizen;V
vitalize;V
fixate;V
blacken;V
pollinate;V
misdo;V
soften;V
unman;V
polymerize;V
postpose;V
defray;V
devalue;V
refurbish;V
contain;V
odorize;V
nuke;V
subtilize;V
metal;V
deify;V
beg;V
exuberate;V
copolymerize;V
prepossess;V
skitter;V
distend;V
beware;V
tutor;V
teethe;V
louden;V
bumble;V
behoove;V
smatter;V
genuflect;V
yarn;V
retie;V
librate;V
infuse;V
rectify;V
enervate;V
fluster;V
commiserate;V
notarize;V
vegetate;V
castigate;V
quarry;V
miscast;V
lag;V
dispread;V
laud;V
overvalue;V
exorcise;V
replicate;V
abrogate;V
outpoint;V
mooch;V
fraternize;V
miniate;V
uncloak;V
reline;V
immunize;V
foreshow;V
vascularize;V
refresh;V
overwrite;V
invade;V
collate;V
dangle;V
sparge;V
trephine;V
alchemize;V
birl;V
constitute;V
minimize;V
enslave;V
assibilate;V
creolize;V
headquarter;V
rubify;V
solve;V
insufflate;V
resurface;V
indwell;V
worsen;V
imprison;V
confess;V
braze;V
entice;V
atomize;V
autotomize;V
ask;V
preen;V
acquaint;V
metabolize;V
legislate;V
interleave;V
halt;V
bask;V
maximize;V
unplug;V
unbraid;V
prearrange;V
oxygenate;V
disinter;V
fibrillate;V
reload;V
depose;V
disorganize;V
concatenate;V
diagonalize;V
prefer;V
eulogize;V
deploy;V
exclude;V
tessellate;V
expect;V
crosshatch;V
overshadow;V
approbate;V
arborize;V
denounce;V
deterge;V
effuse;V
hydroplane;V
melodize;V
cluster;V
defibrinate;V
outpace;V
palatalize;V
soothe;V
redden;V
vasectomize;V
befit;V
deter;V
restart;V
desexualize;V
erase;V
achieve;V
readapt;V
presume;V
unbalance;V
refract;V
aphorize;V
outmode;V
outsail;V
eject;V
overjoy;V
inform;V
misapply;V
etherify;V
avoid;V
gesticulate;V
unseal;V
outnumber;V
dematerialize;V
depend;V
bespeak;V
apotheosize;V
resolve;V
radicalize;V
contemplate;V
distract;V
sidetrack;V
cheque;V
cense;V
inhabit;V
marbleize;V
pare;V
outshine;V
abhor;V
smock;V
choreograph;V
entrain;V
recombine;V
stargaze;V
reallot;V
prim;V
bestialize;V
depart;V
ordain;V
ascertain;V
enthrone;V
trice;V
savor;V
misbehave;V
desquamate;V
emulsify;V
typecast;V
preclude;V
defrost;V
relieve;V
agree;V
be;V
ornament;V
refloat;V
promote;V
unyoke;V
miff;V
arise;V
afflict;V
laicize;V
summate;V
amputate;V
irritate;V
flabbergast;V
ruckle;V
vesiculate;V
gibber;V
glug;V
tally;V
perform;V
trivialize;V
adduce;V
tourney;V
unhinge;V
percuss;V
waive;V
sharpen;V
overheat;V
disband;V
reverberate;V
prosecute;V
impugn;V
actualize;V
dehumanize;V
reap;V
syllabize;V
overcloud;V
exalt;V
pal;V
romp;V
characterize;V
dramatize;V
hedgehop;V
miscreate;V
suburbanize;V
raddle;V
initialize;V
extenuate;V
betroth;V
grasp;V
enable;V
transfigure;V
infatuate;V
rededicate;V
rumple;V
bespot;V
nitrify;V
unwind;V
reunite;V
obey;V
admeasure;V
imbue;V
exsiccate;V
appear;V
redesign;V
assess;V
relate;V
madden;V
gild;V
palpate;V
observe;V
contradistinguish;V
substantiate;V
stet;V
unsaddle;V
recalcitrate;V
unload;V
dogmatize;V
mistreat;V
bisect;V
individuate;V
compile;V
reprise;V
spurt;V
nutrify;V
braise;V
demoralize;V
suckle;V
declaim;V
attest;V
deepen;V
jell;V
introspect;V
propagate;V
advertise;V
replace;V
overstay;V
overprice;V
dissatisfy;V
stratify;V
nag;V
decentralize;V
tempt;V
tint;V
diffract;V
abjure;V
domesticate;V
wail;V
unbox;V
melanize;V
misspell;V
prevail;V
astringe;V
euphemize;V
resemble;V
recognize;V
unsolder;V
eternize;V
beget;V
transfuse;V
mar;V
disburse;V
transmit;V
swim;V
parch;V
fractionate;V
surmise;V
dignify;V
establish;V
total;V
empanel;V
toughen;V
reconcile;V
prophesy;V
recommit;V
whelp;V
counteract;V
brainwash;V
lyophilize;V
stagnate;V
interrelate;V
abridge;V
summerize;V
inaugurate;V
hark;V
gradate;V
excommunicate;V
enthuse;V
vulgarize;V
adjourn;V
ebonize;V
republish;V
overtax;V
confect;V
cleave;V
lose;V
shelve;V
isomerize;V
modify;V
winterize;V
embark;V
implicate;V
miscegenate;V
hydrolyze;V
proselytize;V
mechanize;V
approve;V
rejoice;V
deprecate;V
devour;V
languish;V
evangelize;V
cultivate;V
reseat;V
become;V
swagger;V
disbud;V
denationalize;V
illuminate;V
unwrap;V
keratinize;V
italicize;V
expropriate;V
etherealize;V
exude;V
federalize;V
unpin;V
roughen;V
aurify;V
deaerate;V
memorialize;V
dally;V
notate;V
bombard;V
jaywalk;V
debase;V
splutter;V
beatify;V
flake;V
repress;V
spangle;V
theorize;V
rejuvenate;V
stun;V
occur;V
upend;V
rework;V
inflame;V
railroad;V
reappear;V
swap;V
invoke;V
reactivate;V
cater;V
starve;V
misstate;V
slime;V
forage;V
conscript;V
expiate;V
disturb;V
masticate;V
disenchant;V
join;V
precis;V
crossbreed;V
coerce;V
wheelbarrow;V
levitate;V
pry;V
symmetrize;V
exfoliate;V
twig;V
botch;V
deplume;V
reappraise;V
admonish;V
slink;V
unmuzzle;V
unpick;V
indemnify;V
backspace;V
halve;V
resume;V
procrastinate;V
devastate;V
respond;V
allow;V
symphonize;V
proliferate;V
renege;V
reacquaint;V
obstruct;V
attaint;V
deny;V
redistribute;V
misdirect;V
counterchange;V
brandish;V
convene;V
falsify;V
browbeat;V
disinvolve;V
overprotect;V
preponderate;V
catalogue;V
kibitz;V
dissimilate;V
instruct;V
communize;V
refuel;V
prink;V
reassure;V
outgeneral;V
muckrake;V
deionize;V
unstring;V
chitter;V
arraign;V
loosen;V
commandeer;V
expatriate;V
encode;V
undo;V
misread;V
strangulate;V
corrode;V
depute;V
coinsure;V
underwrite;V
fumigate;V
glaciate;V
behave;V
standardize;V
resent;V
rearm;V
slacken;V
obfuscate;V
slather;V
melt;V
burglarize;V
wring;V
waft;V
opalize;V
underline;V
arterialize;V
caramelize;V
paralyze;V
proofread;V
disappoint;V
obtund;V
untie;V
opalesce;V
rhumba;V
housekeep;V
orientalize;V
ensnare;V
punctuate;V
memorize;V
repent;V
transliterate;V
mythicize;V
conceive;V
fetishize;V
whirligig;V
embroider;V
freshen;V
jinx;V
uncross;V
decarboxylate;V
strive;V
revise;V
enlarge;V
unscrew;V
affirm;V
covet;V
localize;V
corroborate;V
detonate;V
antagonize;V
outdraw;V
impart;V
capitalize;V
analogize;V
exenterate;V
outspan;V
converge;V
petrify;V
luxuriate;V
invalidate;V
consider;V
yell;V
stickle;V
sough;V
invest;V
glycerolize;V
hitchhike;V
apply;V
overpraise;V
heap;V
torment;V
pullulate;V
misinterpret;V
bastardize;V
equilibrate;V
defrock;V
nourish;V
encircle;V
paganize;V
migrate;V
endorse;V
respire;V
abstain;V
secede;V
mercerize;V
hyphenate;V
supervene;V
bereave;V
shush;V
throng;V
debrief;V
misadvise;V
err;V
transmute;V
philosophize;V
disbar;V
dilute;V
auscultate;V
dispose;V
eliminate;V
normalize;V
relativize;V
resell;V
oblige;V
habituate;V
overspend;V
dusk;V
prefabricate;V
outmarch;V
impound;V
scram;V
relace;V
circumvallate;V
floodlight;V
orient;V
delineate;V
slither;V
rebury;V
join;V
stink;V
resurge;V
commend;V
distinguish;V
occupy;V
travesty;V
germinate;V
suck;V
demolish;V
drench;V
outrival;V
revitalize;V
molest;V
degrease;V
yank;V
undergird;V
abreact;V
reprimand;V
condemn;V
elude;V
proceed;V
attend;V
grow;V
cure;V
cauterize;V
clarify;V
sterilize;V
urinate;V
evaluate;V
enshrine;V
perjure;V
fail;V
perseverate;V
droop;V
flee;V
polarize;V
systematize;V
interpose;V
specify;V
have;V
evict;V
demobilize;V
chiromance;V
overuse;V
glower;V
chirk;V
ingrain;V
invoice;V
emend;V
bowdlerize;V
topple;V
deflate;V
necessitate;V
misdeliver;V
unfold;V
uphold;V
calibrate;V
unhook;V
expostulate;V
mulct;V
detect;V
reassail;V
hoax;V
pother;V
benight;V
excavate;V
elute;V
terrorize;V
superannuate;V
attract;V
accuse;V
descend;V
rumpus;V
relapse;V
shrive;V
disembowel;V
collide;V
enchant;V
ionize;V
decorate;V
exhilarate;V
unitize;V
inundate;V
bushwhack;V
sledge;V
disable;V
disclose;V
goggle;V
decompose;V
intrude;V
tamper;V
configure;V
susurrate;V
reharmonize;V
shuck;V
spoof;V
smooch;V
impair;V
convolve;V
absorb;V
build;V
saturate;V
unpack;V
overcapitalize;V
flense;V
commutate;V
vociferate;V
circularize;V
unchain;V
animadvert;V
romanticize;V
naturalize;V
outsell;V
furnish;V
inflect;V
propitiate;V
importune;V
emblazon;V
